StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080
FL,Miami,1245000,399457,25.782295896999997,-80.22156478,733,40,96.80676757812503,98.84235839843754,101.15100341796878,2.035590820312507,4.344235839843748,0.5545454545454545,4.327272727272726,27.309090909090905,27.309090909090905,3.7727272727272716,26.75454545454545,26.75454545454545
OH,Cleveland,3916000,396815,41.4765345821,-81.68054949,710,291,97.17574340820318,101.92994506835942,105.39299499511723,4.754201660156241,8.21725158691406,0.44545454545454544,5.3,16.70909090909091,16.70909090909091,4.8545454545454545,16.263636363636365,16.263636363636365
OK,Tulsa,4075000,391906,36.12842134250001,-95.90361955,483,205,111.23832580566412,113.56120361328131,117.64075683593754,2.322877807617189,6.402431030273419,29.627272727272725,50.11818181818182,76.34545454545454,76.34545454545454,20.490909090909092,46.71818181818182,46.71818181818182
CA,Oakland,653000,390724,37.790878035000006,-122.2148593,62,232,101.82297668457036,102.88369018554693,105.114887084961,1.0607135009765614,3.291910400390634,1.1272727272727272,2.2363636363636363,4.045454545454545,4.045454545454545,1.1090909090909091,2.918181818181818,2.918181818181818
MN,Minneapolis,2743000,382578,44.9635407967,-93.26783453,525,346,101.29985168457037,104.79192749023443,108.27601074218755,3.492075805664058,6.976159057617181,2.4727272727272727,7.836363636363638,21.136363636363633,21.136363636363633,5.363636363636365,18.66363636363636,18.66363636363636
KS,Wichita,2079000,382368,37.690561478,-97.34293668,460,230,110.13005249023442,113.38831726074223,116.50386413574222,3.2582647705078074,6.3738116455078,28.972727272727276,47.236363636363635,69.7909090909091,69.7909090909091,18.26363636363636,40.81818181818182,40.81818181818182
TX,Arlington,4804000,365438,32.699836862000005,-97.12508961,463,150,109.28133117675785,111.84621582031255,115.49790649414066,2.5648846435547057,6.216575317382819,50.06363636363636,74.52727272727273,101.03636363636363,101.03636363636363,24.46363636363637,50.97272727272727,50.97272727272727
CA,Bakersfield,603526,347483,35.3513302855,-119.029786,113,193,112.78593139648441,115.1047222900391,117.80986938476568,2.3187908935546915,5.023937988281261,73.14545454545456,87.42727272727272,107.07272727272725,107.07272727272725,14.281818181818167,33.927272727272694,33.927272727272694
LA,New Orleans,2255000,343829,30.068700993499995,-89.93163179,578,108,99.34102783203129,101.62411315917971,105.60793151855474,2.2830853271484273,6.266903686523449,6.927272727272728,20.66363636363636,53.81818181818181,53.81818181818181,13.736363636363633,46.890909090909084,46.890909090909084
CA,Anaheim,602000,336265,33.83890769959999,-117.8576135,131,168,109.28247375488286,109.5808404541016,112.24841430664067,0.2983666992187466,2.965940551757811,11.818181818181817,19.981818181818184,35.17272727272727,35.17272727272727,8.163636363636368,23.354545454545455,23.354545454545455
FL,Tampa,1271000,335709,27.996198041,-82.44503498,698,75,97.54848754882816,99.44655700683597,102.52100402832036,1.8980694580078108,4.972516479492199,2.236363636363636,13.627272727272725,64.01818181818183,64.01818181818183,11.390909090909089,61.781818181818196,61.781818181818196
CO,Aurora,804000,325078,39.709159478100005,-104.7265266,341,262,101.84890991210942,104.00348266601566,108.6773852539063,2.154572753906237,6.828475341796874,4.909090909090908,14.5,38.22727272727273,38.22727272727273,9.590909090909092,33.31818181818182,33.31818181818182
CA,Santa Ana,669000,324528,33.736694841900004,-117.8818902,131,167,106.07982727050788,106.40199035644537,109.8207708740235,0.32216308593748977,3.7409436035156176,4.127272727272727,7.9818181818181815,16.21818181818182,16.21818181818182,3.8545454545454545,12.090909090909092,12.090909090909092
MO,St. Louis,2965000,319294,38.63581226150001,-90.24511868,573,245,107.0911187744141,110.34303344726565,112.59164367675787,3.251914672851555,5.50052490234377,9.036363636363635,26.17272727272727,53.472727272727276,53.472727272727276,17.136363636363633,44.43636363636364,44.43636363636364
PA,Pittsburgh,4261000,305704,40.4396297486,-79.9762615,737,274,97.78634155273443,103.15388244628912,106.68367980957035,5.36754089355469,8.897338256835923,0.7909090909090909,6.999999999999998,21.39090909090909,21.39090909090909,6.209090909090907,20.6,20.6
TX,Corpus Christi,4817000,305215,27.729158833699998,-97.40190954,459,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,Riverside,662000,303871,33.93812516850001,-117.3948458,139,170,113.37233215332034,115.91892456054691,119.48157104492194,2.5465924072265693,6.109238891601592,44.06363636363636,68.5909090909091,91.39090909090909,91.39090909090909,24.52727272727273,47.32727272727273,47.32727272727273
OH,Cincinnati,3915000,296943,39.1411747124,-84.50600045,665,253,101.32560363769535,105.58450866699222,110.82836547851566,4.258905029296869,9.5027618408203125,2.990909090909091,15.881818181818181,37.95454545454545,37.95454545454545,12.89090909090909,34.96363636363636,34.96363636363636
KY,Lexington,2146027,295803,38.0423254022,-84.45872596,666,236,100.71702697753912,104.84909484863286,109.83754699707035,4.132067871093739,9.120520019531227,2.0454545454545454,14.10909090909091,35.554545454545455,35.554545454545455,12.063636363636364,33.50909090909091,33.50909090909091
CA,Stockton,675000,291707,37.9766322679,-121.3111217,76,235,109.43183288574224,111.56502624511722,114.21110534667973,2.133193359374985,4.7792724609374915,29.609090909090906,47.65454545454546,68.52727272727273,68.52727272727273,18.045454545454557,38.91818181818182,38.91818181818182
OH,Toledo,3977000,287208,41.66373996040001,-83.58238184,680,294,101.96905639648443,106.28355773925784,109.44709289550785,4.314501342773411,7.478036499023418,4.009090909090909,12.690909090909091,27.809090909090912,27.809090909090912,8.681818181818183,23.800000000000004,23.800000000000004
MN,St. Paul,2758000,285068,44.94774025579999,-93.10399583,527,346,99.92378112792974,104.23488769531255,107.49686584472661,4.311106567382808,7.5730847167968705,1.3727272727272726,6.127272727272727,20.45454545454546,20.45454545454546,4.754545454545454,19.08181818181819,19.08181818181819
NJ,Newark,3451000,277140,40.72606934490001,-74.17529971,830,279,101.21869018554693,104.18027465820316,107.59412780761723,2.9615844726562273,6.375437622070294,2.327272727272727,6.454545454545455,16.27272727272727,16.27272727272727,4.127272727272728,13.945454545454542,13.945454545454542
